,Company,Forecast_Period,Num_Days,Mean
0,Apple,1,1,0.5036818851251841
1,Apple,1,5,0.6887905604719764
2,Apple,1,10,0.621301775147929
3,Apple,1,20,0.5720653789004457
4,Apple,1,90,0.5291411042944786
5,Apple,1,180,0.4928
6,Apple,1,270,0.4866220735785953
7,Apple,5,1,0.5737463126843658
8,Apple,5,5,0.8168389955686853
9,Apple,5,10,0.7777777777777778
10,Apple,5,20,0.6517857142857143
11,Apple,5,90,0.5499231950844854
12,Apple,5,180,0.5833333333333334
13,Apple,5,270,0.4154103852596315
14,Apple,10,1,0.5828402366863905
15,Apple,10,5,0.7081481481481482
16,Apple,10,10,0.8738872403560831
17,Apple,10,20,0.7496274217585693
18,Apple,10,90,0.6492307692307693
19,Apple,10,180,0.6163723916532905
20,Apple,10,270,0.3674496644295302
21,Apple,20,1,0.6404160475482912
22,Apple,20,5,0.6651785714285714
23,Apple,20,10,0.7436661698956781
24,Apple,20,20,0.9251497005988024
25,Apple,20,90,0.6398763523956723
26,Apple,20,180,0.5903225806451613
27,Apple,20,270,0.4418212478920742
28,Apple,90,1,0.8512269938650306
29,Apple,90,5,0.8494623655913979
30,Apple,90,10,0.7738461538461539
31,Apple,90,20,0.7758887171561051
32,Apple,90,90,0.9073482428115016
33,Apple,90,180,0.7879799666110183
34,Apple,90,270,0.5769230769230769
35,Apple,180,1,0.8992
36,Apple,180,5,0.8942307692307693
37,Apple,180,10,0.8715890850722311
38,Apple,180,20,0.8354838709677419
39,Apple,180,90,0.7195325542570952
40,Apple,180,180,0.951048951048951
41,Apple,180,270,0.8752293577981651
42,Apple,270,1,0.8678929765886287
43,Apple,270,5,0.8693467336683417
44,Apple,270,10,0.8557046979865772
45,Apple,270,20,0.8178752107925801
46,Apple,270,90,0.701048951048951
47,Apple,270,180,0.7651376146788991
48,Apple,270,270,0.971042471042471
49,Google,1,1,0.5110456553755522
50,Google,1,5,0.6814159292035398
51,Google,1,10,0.5976331360946746
52,Google,1,20,0.5854383358098069
53,Google,1,90,0.5352760736196319
54,Google,1,180,0.5248
55,Google,1,270,0.5183946488294314
56,Google,5,1,0.5634218289085545
57,Google,5,5,0.793205317577548
58,Google,5,10,0.7481481481481481
59,Google,5,20,0.6517857142857143
60,Google,5,90,0.5791090629800307
61,Google,5,180,0.5512820512820513
62,Google,5,270,0.52428810720268
63,Google,10,1,0.5562130177514792
64,Google,10,5,0.6592592592592592
65,Google,10,10,0.8560830860534124
66,Google,10,20,0.698956780923994
67,Google,10,90,0.5861538461538461
68,Google,10,180,0.5040128410914928
69,Google,10,270,0.5184563758389261
70,Google,20,1,0.6062407132243685
71,Google,20,5,0.6160714285714286
72,Google,20,10,0.669150521609538
73,Google,20,20,0.8982035928143712
74,Google,20,90,0.5316846986089645
75,Google,20,180,0.4854838709677419
76,Google,20,270,0.5649241146711635
77,Google,90,1,0.799079754601227
78,Google,90,5,0.7741935483870968
79,Google,90,10,0.7230769230769231
